variant_tag,block,architecture,controller,split,scenario_id,family,mission_success,safety_success,position_rmse_m,saturation_percentage,degradation_percentage,force_norm_clip_percentage,force_tilt_clip_percentage,result_dir
v1_baseline,baseline,gru,neural_outer_force_gru,test,circle_g07_P2_wind_east_s1098_outer_expert,circle,True,True,0.1147884787287596,0.0,0.22172949002217296,0.0,0.0,data/outer_force_dataset/v1\results\circle_g07_P2_wind_east_s1098_outer_expert_neural_gru
v1_baseline,baseline,gru,neural_outer_force_gru,test,circle_g07_P3_wind_ne_s1099_outer_expert,circle,True,True,0.11613361144024195,0.0,0.22172949002217296,0.0,0.0,data/outer_force_dataset/v1\results\circle_g07_P3_wind_ne_s1099_outer_expert_neural_gru
v1_baseline,baseline,gru,neural_outer_force_gru,test,circle_g08_P3_wind_ne_s1105_outer_expert,circle,True,True,0.08261807905949839,0.0,0.22172949002217296,0.0,0.0,data/outer_force_dataset/v1\results\circle_g08_P3_wind_ne_s1105_outer_expert_neural_gru
v1_baseline,baseline,gru,neural_outer_force_gru,test,lissajous_g04_P0_nominal_s1126_outer_expert,lissajous,True,True,0.13413753329427486,0.0,0.0,0.0,0.0,data/outer_force_dataset/v1\results\lissajous_g04_P0_nominal_s1126_outer_expert_neural_gru
v1_baseline,baseline,gru,neural_outer_force_gru,test,lissajous_g04_P1_drag_high_s1127_outer_expert,lissajous,True,True,0.13634234169853648,0.0,0.0,0.0,0.0,data/outer_force_dataset/v1\results\lissajous_g04_P1_drag_high_s1127_outer_expert_neural_gru
v1_baseline,baseline,gru,neural_outer_force_gru,test,lissajous_g05_P0_nominal_s1132_outer_expert,lissajous,True,True,0.09686637429925943,0.0,0.0,0.0,0.0,data/outer_force_dataset/v1\results\lissajous_g05_P0_nominal_s1132_outer_expert_neural_gru
v1_baseline,baseline,gru,neural_outer_force_gru,test,lissajous_g05_P3_wind_ne_s1135_outer_expert,lissajous,True,True,0.09604474004830128,0.0,0.0,0.0,0.0,data/outer_force_dataset/v1\results\lissajous_g05_P3_wind_ne_s1135_outer_expert_neural_gru
v1_baseline,baseline,gru,neural_outer_force_gru,test,lissajous_g06_P2_wind_east_s1140_outer_expert,lissajous,True,True,0.023703206702934392,0.0,0.0,0.0,0.0,data/outer_force_dataset/v1\results\lissajous_g06_P2_wind_east_s1140_outer_expert_neural_gru
v1_baseline,baseline,gru,neural_outer_force_gru,test,lissajous_g07_P0_nominal_s1144_outer_expert,lissajous,True,True,0.06244887696677571,0.0,0.0,0.0,0.0,data/outer_force_dataset/v1\results\lissajous_g07_P0_nominal_s1144_outer_expert_neural_gru
v1_baseline,baseline,gru,neural_outer_force_gru,test,lissajous_g07_P5_combined_s1149_outer_expert,lissajous,True,True,0.08484534708828066,0.0,0.0,0.0,0.0,data/outer_force_dataset/v1\results\lissajous_g07_P5_combined_s1149_outer_expert_neural_gru
